adm_cd,sido,sigungu,eupmyeondong,beopjeongdong,pop,male_pop,female_pop,household,avg_household,area_km2,elder,elder_rate,foreigner,base_year_month,source,note,recent_disaster_date,disaster_type,damage_scale,damage_detail,disaster_type2,advisory_2024,warning_2024,extra,lat,lng
1111011000,서울특별시,종로구,청운효자동,청운동/효자동,8920,4320,4600,4580,0.87,10253,1850,20.7,85,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 5동,"2022년 집중호우: 북악산 일대 산사태 우려, 인왕산로 일대 침수",18,6,청운효자동주민센터,"서울특별시 종로구 궁정동 12-1 청운효자동주민센터(수용:지하명)(146.61㎡); 서울특별시 종로구 옥인동 45-30 종로구보건소, 청운효자동자치회관(수용:지하명)(142㎡)",37.5841,126.9706
1111012000,서울특별시,종로구,사직동,사직동,4250,2080,2170,2180,0.55,7727,920,21.6,42,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 3동,"2022년 집중호우: 사직공원 일대 토사 유출, 도로 침수",18,6,사직경로당,서울특별시 종로구 사직동 284-1 종로문화체육센터(수용:지하명)(1023㎡),37.5752,126.9768
1111013000,서울특별시,종로구,삼청동,삼청동/팔판동/안국동/소격동/화동,3180,1520,1660,1680,1.25,2544,720,22.6,35,202412,행정안전부 주민등록인구통계,,2022-08-08,산사태/호우,산사태 2개소,"2022년 집중호우: 북악산 삼청동 구간 산사태, 문화재 구역 피해",18,6,삼청동주민센터; 복정경로당,서울특별시 종로구 안국동 155-2(수용:지하명)(10438㎡); 서울특별시 종로구 삼청동 28-7 극동문제연구소/통일관(수용:지하명)(751.07㎡); 서울특별시 종로구 삼청동 105-1 삼청동주민센터(수용:지하명)(135㎡),37.5821,126.9798
1111014000,서울특별시,종로구,부암동,부암동/홍지동/신영동,4850,2320,2530,2580,2.15,2256,1120,23.1,48,202412,행정안전부 주민등록인구통계,,2022-08-08,산사태/호우,"산사태 3개소, 주택 2동","2022년 집중호우: 백사실계곡 일대 산사태, 창의문로 침수",18,6,부암동주민센터; 부암경로당; 신영경로당,서울특별시 종로구 부암동 272번지 7호(수용:지상명)(9661㎡); 서울특별시 종로구 신영동 219번지 4호(수용:지하명)(450㎡); 서울특별시 종로구 홍지동 7번지 1호(수용:지하명)(5588.57㎡); 서울특별시 종로구 홍지동 7번지 1호(수용:지하명)(992㎡),37.5932,126.9678
1111015000,서울특별시,종로구,평창동,평창동/구기동,7280,3520,3760,3780,3.85,1891,1580,21.7,62,202412,행정안전부 주민등록인구통계,,2022-08-08,산사태/호우,산사태 4개소,"2022년 집중호우: 북한산 평창동 구간 다수 산사태, 평창문화로 침수",18,6,평창동주민센터; 평창경로당; 구기할아버지경로당; 구기할머니경로당,서울특별시 종로구 구기동 117-41 구기터널관리사무소(수용:지상명)(1781㎡); 서울특별시 종로구 평창동 186번지 9호 평창동 주민센터(수용:지하명)(89㎡); 서울특별시 종로구 평창동 577-7(수용:지하명)(979.67㎡); 서울특별시 종로구 평창동 153-3 창진파크팰리스(수용:지하명)(900.13㎡); 서울특별시 종로구 평창동 596 삼성아파트(수용:지하명)(6183.4㎡),37.6012,126.9634
1111016000,서울특별시,종로구,무악동,무악동/교남동/행촌동,5620,2720,2900,2920,0.98,5735,1250,22.2,55,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,주택침수 4동,"2022년 집중호우: 무악재 고개 일대 침수, 독립문로 교통두절",18,6,무악동주민센터; 무악제2경로당; 무악경로당,서울특별시 종로구 무악동 60-2 무악동주민센터(수용:지하명)(146㎡); 서울특별시 종로구 무악동 82 무악현대아파트(수용:지하명)(2970㎡); 서울특별시 종로구 무악동 83 무악현대아파트(수용:지하명)(2640㎡); 서울특별시 종로구 무악동 46번지 82호(수용:지하명)(495㎡); 서울특별시 종로구 무악동 60 인왕산아이파크(수용:지하명)(1295㎡); 서울특별시 종로구 무악동 88 인왕산2차아이파크아파트(수용:지하명)(3440㎡); 서울특별시 종로구 무악동 89 경희궁 롯데캐슬(수용:지하명)(9490㎡),37.5723,126.9689
1111017000,서울특별시,종로구,교남동,교남동/행촌동/평동,6150,2980,3170,3180,0.72,8542,1320,21.5,58,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,지하차도 침수 1개소,"2022년 집중호우: 서대문로 지하차도 침수, 통일로 일대 침수",18,6,교남동주민센터; 행촌경로당; 은행나무경로당,서울특별시 종로구 공평동 100번지(수용:지하명)(10166㎡); 서울특별시 종로구 평동 210 서대문역(수용:지하명)(6807㎡); 서울특별시 종로구 평동 108-1 강북삼성병원(수용:지하명)(1598㎡); 서울특별시 종로구 행촌동 180번지 10호(수용:지하명)(438㎡); 서울특별시 종로구 행촌동 209번지 15호(수용:지하명)(971.98㎡),37.5698,126.9734
1111018000,서울특별시,종로구,가회동,가회동/원서동/재동/계동,4820,2320,2500,2520,0.85,5671,1050,21.8,42,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/침수,한옥침수 2동,"2022년 집중호우: 북촌 한옥마을 일대 침수, 배수불량",18,6,가회동주민센터; 계원경로당; 가회경로당,서울특별시 종로구 계동 140-2 현대빌딩(수용:지하명)(5330.16㎡); 서울특별시 종로구 계동 35 대동세무고등학교(수용:지하명)(183.36㎡); 서울특별시 종로구 가회동 156 가회동주민센터(수용:지하명)(458.86㎡); 서울특별시 종로구 원서동 165 원서빌딩(수용:지하명)(745.71㎡),37.5801,126.9812
1111019000,서울특별시,종로구,종로1.2.3.4가동,종로1가~4가/공평동/관훈동/견지동/와룡동/권농동/운니동/낙원동/묘동/봉익동/돈의동/장사동/관철동/인사동/경운동/종로5가/종로6가,8950,4380,4570,4620,1.15,7783,1850,20.7,78,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/도시침수,상가침수 8개소,"2022년 집중호우: 종로 중심가 지하상가 침수, 배수펌프 가동",18,6,우정경로당; 서울노인복지센터; 운니경로당,서울특별시 종로구 운니동 98번지 5호(수용:지하명)(4897㎡); 서울특별시 종로구 낙원동 58번지 8호(수용:지하명)(410㎡); 서울특별시 종로구 관훈동 192번지 18호(수용:지하명)(7472㎡); 서울특별시 종로구 종로1가 1번지(수용:지하명)(13410㎡); 서울특별시 종로구 인사동 194번지 27호(수용:지하명)(4328㎡); 서울특별시 종로구 종로1가 54번지(수용:지하명)(10410㎡); 서울특별시 종로구 경운동 90번지 4호(수용:지하명)(7472㎡); 서울특별시 종로구 돈의동 137번지(수용:지하명)(6471㎡); 서울특별시 종로구 종로4가 126번지 2호(수용:지하명)(213㎡); 서울특별시 종로구 묘동 20번지 5호(수용:지하명)(14803㎡); 서울특별시 종로구 종로3가 10번지 5호(수용:지하명)(9311㎡); 서울특별시 종로구 경운동 192번지(수용:지하명)(537㎡); 서울특별시 종로구 돈의동 137번지(수용:지하명)(6471㎡); 서울특별시 종로구 종로4가 183 가로판매대(수용:지하명)(1682㎡),37.5712,126.9823
1111020000,서울특별시,종로구,종로5.6가동,종로5가/종로6가/이화동/연지동/충신동/동숭동/혜화동/명륜1가~4가,9870,4820,5050,5080,1.05,9400,2120,21.5,85,202412,행정안전부 주민등록인구통계,,2022-08-08,호우/도시침수,시장침수 5개소,2022년 집중호우: 광장시장·동대문시장 일대 침수,18,6,해당 없음,서울특별시 종로구 종로5가 82번지 1호(수용:지하명)(10465㎡); 서울특별시 종로구 종로6가 287-1 4호선 동대문역(수용:지하명)(1237㎡); 서울특별시 종로구 종로5가 82번지 1호(수용:지하명)(2311㎡); 서울특별시 종로구 종로6가 287번지 1호(수용:지하명)(3431㎡),37.5701,126.9876
